2018-04-02 09:50:52 : chuanqi_rexue24 :2655: {"200":3120} 
2018-04-02 13:01:33 : chuanqi_rexue25 :71085: {"200":3120} 
2018-04-02 13:18:51 : chuanqi_rexue25 :71085: {"200":3120} 
2018-04-02 13:41:44 : chuanqi_rexue25 :71086: {"200":6120} 
2018-04-02 14:12:12 : chuanqi_rexue3 :2475: {"114012":1} 
2018-04-02 14:12:21 : chuanqi_rexue3 :2475: {"125012":1} 
2018-04-02 14:12:30 : chuanqi_rexue3 :2475: {"125013":1} 
2018-04-02 14:12:42 : chuanqi_rexue3 :2475: {"123013":1} 
2018-04-02 14:12:51 : chuanqi_rexue3 :2475: {"30033":1} 
2018-04-02 14:13:00 : chuanqi_rexue3 :2475: {"106000":1} 
2018-04-02 14:13:11 : chuanqi_rexue3 :2475: {"1547":500} 
2018-04-02 14:13:34 : chuanqi_rexue3 :2475: {"1515":50} 
2018-04-02 14:13:42 : chuanqi_rexue3 :2475: {"1549":200} 
2018-04-02 14:13:51 : chuanqi_rexue3 :2475: {"46":299} 
2018-04-02 14:13:57 : chuanqi_rexue3 :2475: {"45":1000} 
2018-04-02 14:14:06 : chuanqi_rexue3 :2475: {"413":50} 
2018-04-02 14:14:12 : chuanqi_rexue3 :2475: {"515":100} 
2018-04-02 14:14:20 : chuanqi_rexue3 :2475: {"1441":200} 
2018-04-02 14:14:31 : chuanqi_rexue3 :2475: {"1003":3888} 
2018-04-02 14:14:36 : chuanqi_rexue3 :2475: {"1004":3888} 
2018-04-02 14:14:44 : chuanqi_rexue3 :2475: {"10180":50} 
2018-04-02 14:14:51 : chuanqi_rexue3 :2475: {"39":500} 
2018-04-02 16:43:12 : chuanqi_rexue25 :71155: {"200":175360} 
